time_ns,x,y,theta,omega,y_ref,error
40100,0.000995004165278026,0.5000998334166469,0.09999999999999999,0.0,0.0,0.5000998334166469
1040100,0.001990008330556052,0.5001996668332938,0.09699999999999999,-3.0,2.4750832494646602e-08,0.5001996420824613
2040100,0.0029853075181193824,0.5002965147926722,0.09594979603978031,-1.0502039602196866,9.900332997858641e-08,0.5002964157893423
3040100,0.0039807078669026955,0.5003923174316863,0.09489936729210803,-1.0504287476722738,2.2280152478515447e-07,0.5003920946301615
4040100,0.004976208300351028,0.5004870744208966,0.09385021256796704,-1.0491547241409787,3.961508809879888e-07,0.5004866782700156
5040100,0.005971807600637625,0.500580786924165,0.0928013639818175,-1.048848586149535,6.19066234719412e-07,0.5005801678579302
6040100,0.006967504643511698,0.5006734551431606,0.0917528238867754,-1.0485400950420918,8.915621698690757e-07,0.5006725635809908
7040100,0.007963298305358418,0.5007650792831342,0.09070459388699074,-1.0482299997846614,1.2136530607165241e-06,0.5007638656300735
8040100,0.008959187463277691,0.5008556595521714,0.08965667606733992,-1.04791781965081,1.5853530612730538e-06,0.5008540741991101
9040100,0.00995517099504892,0.50094519616167,0.08860907251052569,-1.0476035568142306,2.006676101728999e-06,0.5009431894855683
10040100,0.010951247779140994,0.5010336893263371,0.08756178529744231,-1.0472872130833835,2.4776358920064467e-06,0.5010312116904451
11040100,0.011947416694722237,0.5011211392641854,0.08651481650693185,-1.0469687905104577,2.998245921759235e-06,0.5011181410182637
12040100,0.012943676621670347,0.5012075461965309,0.08546816821577852,-1.0466482911533332,3.568519460372954e-06,0.5012039776770705
13040100,0.013940026440582329,0.5012929103479884,0.08442184249870326,-1.0463257170752422,4.188469549859519e-06,0.5012887218784385
14040100,0.014936465032784401,0.5013772319464692,0.08337584142835465,-1.0460010703486078,4.858109019068024e-06,0.5013723738374501
15040100,0.015932991280341886,0.5014605112231771,0.08233016707531064,-1.045674353044017,5.577450469473888e-06,0.5014549337727077
16040100,0.016929604066069078,0.5015427484126056,0.08128482150806608,-1.0453455672445653,6.346506285836995e-06,0.5015364019063198
17040100,0.017926302273539103,0.5016239437525337,0.08023980679303269,-1.045014715033395,7.165288629096267e-06,0.5016167784639046
18040100,0.018923084787093744,0.5017040974840232,0.07919512499452999,-1.0446817985026957,8.033809443475093e-06,0.5016960636745798
19040100,0.01991995049185326,0.5017832098514149,0.0781507781747838,-1.0443468197461887,8.952080449375899e-06,0.5017742577709655
20040100,0.020916898273726177,0.501861281102325,0.07710676839391717,-1.044009780866629,9.920113150485577e-06,0.5018513609891745
21040100,0.021913927019419077,0.5019383114876417,0.07606309770994871,-1.0436706839684584,1.0937918826670057e-05,0.501927373568815
22040100,0.022911035616446328,0.5020143012615218,0.0750197681787838,-1.0433295311649164,1.2005508537527021e-05,0.5020022957529843
23040100,0.023908222953139845,0.5020892506813868,0.07397678185421108,-1.0429863245726985,1.3122893129491331e-05,0.5020761277882573
24040100,0.024905487918658792,0.5021631600079193,0.07293414078790081,-1.04264106631027,1.4290083225176886e-05,0.5021488699246941
25040100,0.025902829402999282,0.5022360295050597,0.07189184702939438,-1.0422937585064287,1.5507089223376624e-05,0.5022205224158364
26040100,0.02690024629700406,0.5023078594400023,0.07084990262609908,-1.0419444032953018,1.6773921309720663e-05,0.5022910855186926
27040100,0.02789773749237215,0.5023786500831915,0.0698083096232882,-1.0415930028108786,1.8090589453123584e-05,0.5023605594937384
28040100,0.028895301881668493,0.5024484017083182,0.0687670700640943,-1.0412395591938925,1.9457103395126296e-05,0.502428944604923
29040100,0.029892938358333575,0.5025171145923158,0.06772618598949863,-1.0408840745956673,2.0873472664106885e-05,0.5024962411196517
30040100,0.030890645816693003,0.5025847890153572,0.06668565943833316,-1.0405265511654793,2.2339706568175188e-05,0.502562449308789
31040100,0.03188842315196709,0.5026514252608497,0.06564549244727204,-1.040166991061111,2.3855814202278225e-05,0.5026275694466474
32040100,0.03288626926028042,0.5027170236154324,0.06460568705082997,-1.0398053964420595,2.5421804433989337e-05,0.5026916018109984
33040100,0.03388418303867135,0.5027815843689714,0.06356624528135024,-1.039441769479714,2.703768592127176e-05,0.5027545466830501
34040100,0.03488216338510157,0.5028451078145566,0.06252716916900847,-1.0390761123417704,2.870346710182048e-05,0.5028164043474548
35040100,0.035880209198465546,0.5029075942484974,0.061488460741802344,-1.038708427206124,3.0419156193062236e-05,0.5028771750923043
36040100,0.03687831937860002,0.5029690439703188,0.060450122025546595,-1.0383387162557538,3.218476119926095e-05,0.5029368592091196
37040100,0.037876492826293455,0.5030294572827574,0.05941215504387173,-1.037966981674871,3.4000289904412284e-05,0.502995456992853
38040100,0.03887472844329546,0.5030888344917573,0.05837456181821542,-1.0375932256563085,3.5865749879349096e-05,0.503052968741878
39040100,0.03987302513232619,0.5031471759064666,0.057337344367821355,-1.037217450394061,3.7781148474635984e-05,0.503109394757992
40040100,0.04087138179708574,0.5032044818392326,0.05630050470973062,-1.036839658090729,3.9746492824122015e-05,0.5031647353464085
41040100,0.041869797342263516,0.5032607526055981,0.055264044858778665,-1.036459850951955,4.176178985204615e-05,0.5032189908157461
42040100,0.04286827067354756,0.5033159885242974,0.0542279668275941,-1.0360780311845663,4.382704625527367e-05,0.5032721614780421
43040100,0.043866800697633865,0.5033701899172518,0.05319227262658494,-1.0356942010091514,4.59422685317179e-05,0.5033242476487201
44040100,0.04486538632223571,0.5034233571095657,0.052156964263948044,-1.0353083626369015,4.810746294481305e-05,0.5033752496466208
45040100,0.045864026456092895,0.5034754904295223,0.051122043745646564,-1.0349205183014805,5.032263555548866e-05,0.5034251677939668
46040100,0.04686272000898102,0.5035265902085796,0.05008751307542131,-1.0345306702252586,5.2587792204406014e-05,0.5034740024163752
47040100,0.047861465891720696,0.5035766567813657,0.04905337425477688,-1.034138820644432,5.4902938522616296e-05,0.503521753842843
48040100,0.04886026301618678,0.5036256904856748,0.0480196292829826,-1.0337449717942806,5.726807992445515e-05,0.5035684224057504
49040100,0.049859110295317546,0.5036736916624632,0.046986280157064096,-1.033349125918502,5.968322160398998e-05,0.5036140084408592
50040100,0.05085800664312384,0.5037206606558444,0.045953328871796886,-1.0329512852672107,6.214836854567807e-05,0.5036585122872987
51040100,0.05185695097469825,0.5037665978130851,0.04492077741970713,-1.0325514520897485,6.466352552791932e-05,0.5037019342875572
52040100,0.0528559422062242,0.5038115034846007,0.043888627791068745,-1.0321496286383878,6.722869710173995e-05,0.503744274787499
53040100,0.05385497925498506,0.503855378023951,0.042856881973888164,-1.0317458171805782,6.984388761566152e-05,0.5037855341363353
54040100,0.0548540610393732,0.5038982217878357,0.0418255419539122,-1.0313400199759628,7.250910120149001e-05,0.5038257126866342
55040100,0.05585318647889907,0.50394003513609,0.04079460971461643,-1.030932239295771,7.522434178142134e-05,0.5038648107943086
56040100,0.056852354494200216,0.50398081843168,0.039764087237204135,-1.0305224774123047,7.798961305738317e-05,0.5039028288186226
57040100,0.05785156400705026,0.5040205720406983,0.03873397650059658,-1.0301107366075548,8.080491852524574e-05,0.503939767122173
58040100,0.05885081394036791,0.5040592963323595,0.03770427948143552,-1.0296970191610626,8.36702614677165e-05,0.5039756260708917
59040100,0.059850103218225925,0.5040969916789955,0.036674998154075274,-1.029281327360251,8.658564496499821e-05,0.5040104060340305
60040100,0.06084943076586,0.5041336584560512,0.0356461344905836,-1.0288636634916788,8.955107186636724e-05,0.5040441073841848
61040100,0.06184879550967774,0.5041692970420796,0.03461769046072302,-1.0284440298605735,9.256654482925342e-05,0.5040767304972503
62040100,0.06284819637726749,0.5042039078187374,0.033589668031965975,-1.0280224287570487,9.563206628726562e-05,0.5041082757524501
63040100,0.06384763229740724,0.5042374911707801,0.0325620691694745,-1.0275988624914647,9.874763847506074e-05,0.504138743532305
64040100,0.06484710220007342,0.5042700474860575,0.03153489583610828,-1.0271733333662247,0.00010191326340702744,0.5041681342226505
65040100,0.06584660501644977,0.5043015771555092,0.030508149992409656,-1.0267458436986252,0.0001051289428950497,0.5041964482126141
66040100,0.0668461396789361,0.5043320805731591,0.029481833596608276,-1.0263163958013806,0.00010839467853784868,0.5042236858946213
67040100,0.06784570512115705,0.5043615581361119,0.028455948604611318,-1.0258849919969593,0.00011171047173164084,0.5042498476643803
68040100,0.06884530027797084,0.5043900102445472,0.027430496970004752,-1.02545163460656,0.0001150763236488217,0.5042749339208984
69040100,0.06984492408547799,0.5044174373017153,0.026405480644038224,-1.0250163259665233,0.00011849223526994024,0.5042989450664453
