time_ns,x,y,theta,omega,y_ref,error
40100,0.000995004165278026,0.5001867029635089,0.09999999999999999,0.0,0.0,0.5001867029635089
1040100,0.001990008330556052,0.5002687479003868,0.09699999999999999,-3.0,2.4750832494646602e-08,0.5002687231495543
2040100,0.0029853075181193824,0.5003987809413033,0.09590628753723646,-1.0937124627635388,9.900332997858641e-08,0.5003986819379733
3040100,0.0039807120341899165,0.5005606863934718,0.09486476489725214,-1.0415226399843276,2.2280152478515447e-07,0.5005604635919471
4040100,0.004976215745861035,0.5006674186039708,0.09379901315961173,-1.0657517376404146,3.961517123229896e-07,0.5006670224522585
5040100,0.005971819842867431,0.5007813850354761,0.09271702652813772,-1.0819866314740214,6.190680892359524e-07,0.5007807659673869
6040100,0.006967524697602022,0.5008955545702479,0.09166243828200495,-1.0545882461327816,8.915658256114511e-07,0.5008946630044223
7040100,0.007963326636884437,0.5009902944827548,0.09060403032818118,-1.0584079538237616,1.2136600489043303e-06,0.5009890808227059
8040100,0.00895922489884218,0.5010855622753394,0.08954531792608651,-1.0587124020946692,1.585364341138984e-06,0.5010839769109983
9040100,0.00995521839506838,0.5011022400681244,0.08849615640374238,-1.049161522344139,2.006692870537563e-06,0.5011002333752539
10040100,0.010951305165114052,0.5011832720181704,0.08744656606054983,-1.049590343192548,2.4776594855779877e-06,0.5011807943586848
11040100,0.01194748414999807,0.5012669793252866,0.08643626312264756,-1.0103029379022699,2.998277345511724e-06,0.5012639810479411
12040100,0.012943750861429357,0.5013533387962155,0.0853936469090729,-1.0426162135746528,3.568559755251499e-06,0.5013497702364602
13040100,0.013940107039022868,0.5013228236116505,0.08434955157518857,-1.0440953338843255,4.188517596759311e-06,0.5013186350940537
14040100,0.014936551724307478,0.5014043343945714,0.08330398351808767,-1.0455680571008994,4.858165198129427e-06,0.5013994762293733
15040100,0.015933083953566938,0.5015526086608507,0.08231694000327794,-0.9870435148097281,5.5775152141279705e-06,0.5015470311456366
16040100,0.016929697826964175,0.5014507041697734,0.08127374677306674,-1.043193230211194,6.346580114779954e-06,0.5014443575896587
17040100,0.01792639693358995,0.5015007541932732,0.08019690164821595,-1.076845124850786,7.165367996719851e-06,0.5014935888252765
18040100,0.01892318288523458,0.5015958646090968,0.07924537621009199,-0.9515254381239455,8.03389428938317e-06,0.5015878307148074
19040100,0.019920044613242836,0.5017408389709721,0.07821780002089046,-1.0275761892015267,8.952173267573471e-06,0.5017318867977045
20040100,0.020916987160397287,0.5018454342644783,0.07716753012759614,-1.050269893294339,9.920206895941419e-06,0.5018355140575823
21040100,0.021914011223749922,0.5019045843595582,0.0760920651259445,-1.075465001651632,1.0938011786976176e-05,0.5018936463477712
22040100,0.022911117619131442,0.5020186913090924,0.07503660738913157,-1.0554577368129396,1.200560080150126e-05,0.5020066857082909
23040100,0.02390830369359453,0.5020760581621728,0.07400378097858133,-1.0328264105502267,1.3122987070346426e-05,0.5020629351751025
24040100,0.0249055666632629,0.5021028510912418,0.07294327506030462,-1.0605059182767096,1.4290179741749398e-05,0.5020885609115
25040100,0.02590290748195195,0.5021781806692651,0.07191105169413524,-1.032223366169382,1.5507187281826873e-05,0.5021626734819833
26040100,0.026900322996302975,0.5022570202257229,0.0708940890455629,-1.0169626485723464,1.6774022434162816e-05,0.5022402462032888
27040100,0.027897811062712243,0.5022383375401142,0.06985273486083372,-1.041354184729176,1.8090692613270676e-05,0.5022202468475009
28040100,0.028895372352291677,0.5022881642378239,0.06880949555862814,-1.0432393022055761,1.945720601526091e-05,0.5022687070318086
29040100,0.02989300591288084,0.5024171003710577,0.06781508239746532,-0.9944131611628106,2.087357447777549e-05,0.5023962267965799
30040100,0.030890707351284928,0.5025068818508569,0.06678634265151503,-1.028739745950284,2.2339807539850653e-05,0.502484542043317
31040100,0.03188847797235043,0.5026105469667489,0.06571781818030212,-1.0685244712129165,2.385590924447456e-05,0.5025866910575044
32040100,0.03288631933360481,0.5026040752431282,0.0646687194393716,-1.0490987409305186,2.5421891841403976e-05,0.5025786533512868
33040100,0.03388422904059485,0.5026346417503412,0.06361249962257425,-1.0562198167973469,2.703776825896398e-05,0.5026076039820823
34040100,0.034882206447722365,0.5027013827353446,0.06261138934764363,-1.0011102749306229,2.870354503770045e-05,0.5026726791903069
35040100,0.03588024699492813,0.5027533777078053,0.061591727106015876,-1.0196622416277406,3.041923130098212e-05,0.5027229584765043
36040100,0.036878350824051366,0.5027737484618974,0.060553872529637745,-1.0378545763781295,3.218482900635422e-05,0.502741563632891
37040100,0.037876517998460944,0.5027878391310633,0.0595233154565025,-1.0305570731352454,3.4000347888252236e-05,0.502753838783175
38040100,0.03887474700890049,0.5028536216296169,0.058508558342669374,-1.0147571138331262,3.586579754966124e-05,0.5028177558320672
39040100,0.0398730358714222,0.5028976411531509,0.057496941786250096,-1.0116165564192785,3.778118455954882e-05,0.5028598599685914
40040100,0.040871383377588125,0.5029389389098908,0.056459376549588124,-1.0375652366619716,3.9746514232774643e-05,0.5028991923956581
41040100,0.04186978997032562,0.5030261293044826,0.055432633663379874,-1.0267428862082513,4.1761793081462883e-05,0.5029843675114012
42040100,0.0428682539752628,0.5031089142869948,0.054407198070200655,-1.025435593179219,4.382703082228545e-05,0.5030650872561725
43040100,0.04386677426872784,0.5032132227033451,0.05335867088722784,-1.0485271829728187,4.5942232738127586e-05,0.503167280470607
44040100,0.04486535103257679,0.5032547155678385,0.05231221005282119,-1.046460834406657,4.810740497873667e-05,0.5032066081628598
45040100,0.04586398306092139,0.5032541772665162,0.05125480820016958,-1.0574018526515985,5.0322556390369755e-05,0.5032038547101259
46040100,0.046862669820773556,0.5033152233872974,0.050228760557605806,-1.0260476425637786,5.258769269289587e-05,0.5032626356946045
47040100,0.047861408621772995,0.5033039280176123,0.04922375909727057,-1.0050014603352362,5.4902820924240814e-05,0.503249025196688
48040100,0.0488601973771411,0.5033274754908293,0.048187872959862904,-1.0358861374076598,5.7267942871419564e-05,0.5032702075479579
49040100,0.049859036566240765,0.5034054035722249,0.04718820988552958,-0.9996630743333232,5.968306124515266e-05,0.5033457205109797
50040100,0.05085792340924574,0.5034978408945902,0.04617110812324873,-1.0171017622808465,6.214818474248318e-05,0.5034356927098477
51040100,0.051856857712971646,0.5035844470056914,0.04512669013352468,-1.0444179897240526,6.466331387144919e-05,0.5035197836918199
52040100,0.05285583967667033,0.503723406794072,0.04407486268174508,-1.0518274517796053,6.722845528983612e-05,0.5036561783387822
53040100,0.053854868537136176,0.5037247480092804,0.04302580775980286,-1.0490549219422238,6.984361665018923e-05,0.5036549043926302
54040100,0.05485394306985301,0.5037470207946844,0.041950328319937884,-1.0754794398649834,7.250880306841623e-05,0.503674511991616
55040100,0.05585306328386411,0.5037674017195151,0.040943685827130406,-1.00664249280748,7.522401822512848e-05,0.5036921777012899
56040100,0.05685222520824751,0.503845408429545,0.03992656344845384,-1.017122378676567,7.798926901259051e-05,0.5037674191605324
57040100,0.05785142824889298,0.5038311213560583,0.038910376786531226,-1.0161866619226232,8.080455101122652e-05,0.5037503168050471
58040100,0.058850671335687686,0.5037514525163084,0.03786525186475853,-1.0451249217726932,8.366986877561544e-05,0.5036677826475328
59040100,0.05984995453268909,0.5037136647065221,0.03686633315740946,-0.9989187073490673,8.658522534332747e-05,0.5036270794811788
60040100,0.06084927504639307,0.5037865315508133,0.03590029552098637,-0.9660376364230896,8.955062692095339e-05,0.5036969809238924
61040100,0.06184863069999277,0.5038200500353557,0.034913423898509106,-0.9868716224772647,9.256607105356807e-05,0.5037274839643021
62040100,0.06284802128831576,0.5039143614018707,0.0338711102674703,-1.0423136310388108,9.563155662206668e-05,0.5038187298452487
63040100,0.06384744771709944,0.5039719499612444,0.0328484349310259,-1.0226753364443983,9.874708826984602e-05,0.5038732028729745
64040100,0.06484690825577079,0.5039707400491882,0.03179520578496506,-1.0532291460608392,0.00010191267415393668,0.5038688273750342
65040100,0.0658464028307968,0.5040288680965355,0.030760254223646095,-1.0349515613189635,0.00010512831405762313,0.5039237397824778
66040100,0.06684592977147907,0.5040960265109654,0.02975473577615578,-1.0055184474903127,0.00010839401287654482,0.5039876324980889
67040100,0.06784548713198733,0.5041535665590139,0.028719463653724277,-1.0352721224314987,0.00011170977015240169,0.5040418567888615
68040100,0.06884507475653642,0.5042373243477166,0.027679573691665606,-1.0398899620586708,0.00011507558416568031,0.5041222487635509
69040100,0.06984469170159423,0.5043065135502762,0.02664440959269831,-1.0351640989672954,0.00011849145896292157,0.5041880220913133
70040100,0.07084433676031217,0.5043420484029277,0.025596000969968058,-1.0484086227302527,0.00012195739581244425,0.5042200910071153
71040100,0.07184400920056347,0.5043488768130663,0.02455477022480409,-1.0412307451639689,0.00012547339486346232,0.5042234034182028
72040100,0.07284370774733996,0.5043860711317253,0.023530327647987716,-1.0244425768163739,0.0001290394577289078,0.5042570316739964
73040100,0.07384343092195335,0.5044898147009779,0.022520256799640488,-1.0100708483472263,0.0001326555838971899,0.5043571591170807
74040100,0.07484317735168723,0.5044792263062591,0.02149496087229947,-1.0252959273410183,0.00013632177184774719,0.5043429045344113
75040100,0.07584294634391042,0.5045017841696154,0.020436215195790194,-1.058745676509271,0.00014003802017015232,0.5043617461494453
76040100,0.07684273753173215,0.504479959814989,0.019434689140738613,-1.0015260550515797,0.0001438043297454783,0.5043361554852436
77040100,0.07784254868410535,0.5045712213345581,0.018416577404168355,-1.0181117365702594,0.00014762070258100835,0.5044236006319771
78040100,0.07884237910373684,0.5046298046896964,0.017420733089674498,-0.9958443144938574,0.00015148713334767194,0.5044783175563488
79040100,0.07984222736660367,0.5047131217009517,0.016368196076870876,-1.0525370128036209,0.00015540362232613347,0.5045577180786256
80040100,0.08084209341067307,0.5047425247604671,0.015331913841656213,-1.0362822352146641,0.00015937016674172355,0.5045831545937254
81040100,0.08184197587918439,0.5047185858226898,0.014283131105167936,-1.0487827364882758,0.00016338676905647276,0.5045551990536333
82040100,0.08284187387700143,0.5047098798030354,0.013261279600584803,-1.0218515045831347,0.00016745342641044658,0.5045424263766249
83040100,0.08384178594752173,0.5047303193398459,0.01226618013335788,-0.9950994672269211,0.00017157013759572237,0.5045587492022502
84040100,0.08484171071887744,0.5047140484398296,0.011263514879446846,-1.0026652539110343,0.00017573689885708177,0.5045383115409725
85040100,0.08584164728616435,0.5046369971499018,0.010246269326790286,-1.0172455526565598,0.00017995370652457154,0.5044570434433773
86040100,0.08684159479360604,0.5046870651398748,0.009247444991165584,-0.9988243356247031,0.0001842205586513046,0.5045028445812235
87040100,0.0878415520362913,0.5047389991910514,0.008279198509010322,-0.968246482155263,0.00018853745331526284,0.5045504617377361
88040100,0.0888415177639231,0.5048195047119729,0.007247325905982692,-1.0318726030276297,0.00019290438690688916,0.504626600325066
89040100,0.08984149150217165,0.504832195891775,0.006214450157581947,-1.0328757484007451,0.0001973213553583264,0.5046348745364166
90040100,0.09084147219253841,0.5048158515129523,0.005167161514633669,-1.0472886429482788,0.000201788357845345,0.5046140631551069
91040100,0.09184145884278905,0.504833344336722,0.0041537886109082834,-1.0133729037253856,0.0002063053908010204,0.504627038945921
92040100,0.09284145021582153,0.5048103867005089,0.003155000224553167,-0.9987883863551164,0.0002108724507401405,0.5045995142497688
93040100,0.09384144523881245,0.5048187681461999,0.0021392923988659,-1.0157078256872671,0.00021548953284877825,0.5046032786133511
94040100,0.09484144295052734,0.5048703728105037,0.0011438899636914347,-0.9954024351744652,0.00022015663283525555,0.5046502161776685
95040100,0.09584144229628529,0.5048803400552484,0.00013283556781247888,-1.0110543958789557,0.0002248737467276385,0.5046554663085208
96040100,0.09684144228746264,0.5048994899362262,-0.000899899205520818,-1.032734773333297,0.0002296408699073993,0.5046698490663188
97040100,0.09784144188255338,0.5049331546434519,-0.0019118006646739536,-1.011901459153136,0.000234457997869697,0.5046986966455822
98040100,0.09884144005506304,0.5049076723215223,-0.0029282971050584392,-1.0164964403844854,0.00023932512565494335,0.5046683471958674
99040100,0.09984143576760414,0.5049383560014604,-0.003952083553814238,-1.0237864487557986,0.00024424224816144147,0.504694113753299
100040100,0.1008414279581321,0.5048538097836672,-0.004946210691742931,-0.9941271379286929,0.00024920936003525185,0.504604600423632
101040100,0.10184141572565693,0.5049392722005152,-0.0059684472690579166,-1.022236577314986,0.0002542264555920326,0.5046850457449231
102040100,0.1028413979145284,0.5049373963158814,-0.006932864779039081,-0.9644175099811645,0.0002592935297549559,0.5046781027861265
103040100,0.10384137388231764,0.5048846789206266,-0.007982422407723103,-1.0495576286840216,0.0002644105759479487,0.5046202683446787
104040100,0.10484134202295306,0.5049437571018652,-0.008988271913789604,-1.0058495060665007,0.00026957759004631043,0.5046741795118189
105040100,0.10584130162870901,0.5049334985046547,-0.009968559911774179,-0.9802879979845753,0.0002747945627312731,0.5046587039419235
106040100,0.10684125194302711,0.5049595897921705,-0.011004828441129278,-1.0362685293550993,0.00028006148912140816,0.5046795283030491
107040100,0.10784119139051371,0.5049616750202761,-0.012006372553360033,-1.001544112230755,0.00028537836394093574,0.5046762966563352
108040100,0.1088411193148886,0.5049822078209081,-0.013026108182564597,-1.019735629204565,0.0002907451773310754,0.504691462643577
