time_ns,x,y,theta,omega,lateral_error
100,0.0,0.0,0.0,0.0,0.0
1000100,0.0,0.5,0.1,0.0,0.5
2000100,0.000995004165278026,0.5001867029635089,0.09999999999999999,-3.0,0.5001866782126764
3000100,0.001990008330556052,0.5002687479003868,0.09699999999999999,-1.0937124627635388,0.5002686488970568
4000100,0.0029853075181193824,0.5003987809413033,0.09590628753723646,-1.0415226399843276,0.5003985581397785
5000100,0.0039807120341899165,0.5005606863934718,0.09486476489725214,-1.0657517376404146,0.5005602902417595
6000100,0.004976215745861035,0.5006674186039708,0.09379901315961173,-1.0819866314740214,0.5006667995358816
7000100,0.005971819842867431,0.5007813850354761,0.09271702652813772,-1.0545882461327816,0.5007804934696505
8000100,0.006967524697602022,0.5008955545702479,0.09166243828200495,-1.0584079538237616,0.500894340910199
9000100,0.007963326636884437,0.5009902944827548,0.09060403032818118,-1.0587124020946692,0.5009887091184136
10000100,0.00895922489884218,0.5010855622753394,0.08954531792608651,-1.049161522344139,0.5010835555824689
11000100,0.00995521839506838,0.5011022400681244,0.08849615640374238,-1.049590343192548,0.5010997624086388
12000100,0.010951305165114052,0.5011832720181704,0.08744656606054983,-1.0103029379022699,0.5011802737408249
13000100,0.01194748414999807,0.5012669793252866,0.08643626312264756,-1.0426162135746528,0.5012634107655314
14000100,0.012943750861429357,0.5013533387962155,0.0853936469090729,-1.0440953338843255,0.5013491502786187
15000100,0.013940107039022868,0.5013228236116505,0.08434955157518857,-1.0455680571008994,0.5013179654464524
16000100,0.014936551724307478,0.5014043343945714,0.08330398351808767,-0.9870435148097281,0.5013987568793573
17000100,0.015933083953566938,0.5015526086608507,0.08231694000327794,-1.043193230211194,0.5015462620807359
18000100,0.016929697826964175,0.5014507041697734,0.08127374677306674,-1.076845124850786,0.5014435388017767
19000100,0.01792639693358995,0.5015007541932732,0.08019690164821595,-0.9515254381239455,0.5014927202989838
20000100,0.01892318288523458,0.5015958646090968,0.07924537621009199,-1.0275761892015267,0.5015869124358292
21000100,0.019920044613242836,0.5017408389709721,0.07821780002089046,-1.050269893294339,0.5017309187640762
22000100,0.020916987160397287,0.5018454342644783,0.07716753012759614,-1.075465001651632,0.5018344962526913
23000100,0.021914011223749922,0.5019045843595582,0.0760920651259445,-1.0554577368129396,0.5018925787587567
24000100,0.022911117619131442,0.5020186913090924,0.07503660738913157,-1.0328264105502267,0.502005568322022
25000100,0.02390830369359453,0.5020760581621728,0.07400378097858133,-1.0605059182767096,0.5020617679824311
26000100,0.0249055666632629,0.5021028510912418,0.07294327506030462,-1.032223366169382,0.5020873439039599
27000100,0.02590290748195195,0.5021781806692651,0.07191105169413524,-1.0169626485723464,0.502161406646831
28000100,0.026900322996302975,0.5022570202257229,0.0708940890455629,-1.041354184729176,0.5022389295331097
29000100,0.027897811062712243,0.5022383375401142,0.06985273486083372,-1.0432393022055761,0.5022188803340989
30000100,0.028895372352291677,0.5022881642378239,0.06880949555862814,-0.9944131611628106,0.5022672906633461
31000100,0.02989300591288084,0.5024171003710577,0.06781508239746532,-1.028739745950284,0.5023947605635178
32000100,0.030890707351284928,0.5025068818508569,0.06678634265151503,-1.0685244712129165,0.5024830259416124
33000100,0.03188847797235043,0.5026105469667489,0.06571781818030212,-1.0490987409305186,0.5025851250749075
34000100,0.03288631933360481,0.5026040752431282,0.0646687194393716,-1.0562198167973469,0.5025770374748693
35000100,0.03388422904059485,0.5026346417503412,0.06361249962257425,-1.0011102749306229,0.5026059382053035
36000100,0.034882206447722365,0.5027013827353446,0.06261138934764363,-1.0196622416277406,0.5026709635040436
37000100,0.03588024699492813,0.5027533777078053,0.061591727106015876,-1.0378545763781295,0.5027211928787989
38000100,0.036878350824051366,0.5027737484618974,0.060553872529637745,-1.0305570731352454,0.5027397481140091
39000100,0.037876517998460944,0.5027878391310633,0.0595233154565025,-1.0147571138331262,0.5027519733335136
40000100,0.03887474700890049,0.5028536216296169,0.058508558342669374,-1.0116165564192785,0.5028158404450573
41000100,0.0398730358714222,0.5028976411531509,0.057496941786250096,-1.0375652366619716,0.5028578946389182
42000100,0.040871383377588125,0.5029389389098908,0.056459376549588124,-1.0267428862082513,0.5028971771168094
43000100,0.04186978997032562,0.5030261293044826,0.055432633663379874,-1.025435593179219,0.5029823022736604
44000100,0.0428682539752628,0.5031089142869948,0.054407198070200655,-1.0485271829728187,0.5030629720542567
45000100,0.04386677426872784,0.5032132227033451,0.05335867088722784,-1.046460834406657,0.5031651152983664
46000100,0.04486535103257679,0.5032547155678385,0.05231221005282119,-1.0574018526515985,0.5032043930114481
47000100,0.04586398306092139,0.5032541772665162,0.05125480820016958,-1.0260476425637786,0.5032015895738233
48000100,0.046862669820773556,0.5033152233872974,0.050228760557605806,-1.0050014603352362,0.5032603205663732
49000100,0.047861408621772995,0.5033039280176123,0.04922375909727057,-1.0358861374076598,0.5032466600747408
50000100,0.0488601973771411,0.5033274754908293,0.048187872959862904,-0.9996630743333232,0.5032677924295842
51000100,0.049859036566240765,0.5034054035722249,0.04718820988552958,-1.0171017622808465,0.5033432553874824
52000100,0.05085792340924574,0.5034978408945902,0.04617110812324873,-1.0444179897240526,0.5034331775807187
53000100,0.051856857712971646,0.5035844470056914,0.04512669013352468,-1.0518274517796053,0.5035172185504015
54000100,0.05285583967667033,0.503723406794072,0.04407486268174508,-1.0490549219422238,0.5036535631774218
55000100,0.053854868537136176,0.5037247480092804,0.04302580775980286,-1.0754794398649834,0.5036522392062119
56000100,0.05485394306985301,0.5037470207946844,0.041950328319937884,-1.00664249280748,0.5036717967764592
57000100,0.05585306328386411,0.5037674017195151,0.040943685827130406,-1.017122378676567,0.5036894124505025
58000100,0.05685222520824751,0.503845408429545,0.03992656344845384,-1.0161866619226232,0.5037646038785337
59000100,0.05785142824889298,0.5038311213560583,0.038910376786531226,-1.0451249217726932,0.5037474514872827
60000100,0.058850671335687686,0.5037514525163084,0.03786525186475853,-0.9989187073490673,0.503664867290965
61000100,0.05984995453268909,0.5037136647065221,0.03686633315740946,-0.9660376364230896,0.5036241140796012
62000100,0.06084927504639307,0.5037865315508133,0.03590029552098637,-0.9868716224772647,0.5036939654797598
63000100,0.06184863069999277,0.5038200500353557,0.034913423898509106,-1.0423136310388108,0.5037244184787336
64000100,0.06284802128831576,0.5039143614018707,0.0338711102674703,-1.0226753364443983,0.5038156143136009
65000100,0.06384744771709944,0.5039719499612444,0.0328484349310259,-1.0532291460608392,0.5038700372870905
66000100,0.06484690825577079,0.5039707400491882,0.03179520578496506,-1.0349515613189635,0.5038656117351306
67000100,0.0658464028307968,0.5040288680965355,0.030760254223646095,-1.0055184474903127,0.5039204740836589
68000100,0.06684592977147907,0.5040960265109654,0.02975473577615578,-1.0352721224314987,0.503984316740813
69000100,0.06784548713198733,0.5041535665590139,0.028719463653724277,-1.0398899620586708,0.5040384909748482
70000100,0.06884507475653642,0.5042373243477166,0.027679573691665606,-1.0351640989672954,0.5041188328887537
71000100,0.06984469170159423,0.5043065135502762,0.02664440959269831,-1.0484086227302527,0.5041845561544638
