time_ns,x,y,theta,omega,y_ref,error
40100,0.000995004165278026,0.5001087019348704,0.09999999999999999,0.0,0.0,0.5001087019348704
1040100,0.001990008330556052,0.5002529443975181,0.09699999999999999,-3.0,2.4750832494646602e-08,0.5002529196466856
2040100,0.0029853075181193824,0.5004099735635807,0.0959453440427452,-1.054655957254771,9.900332997858641e-08,0.5004098745602508
3040100,0.003980708293405896,0.5004745299383534,0.09487260421072949,-1.0727398320157215,2.2280152478515447e-07,0.5004743071368286
4040100,0.004976211262486722,0.5005785337606887,0.09379313194814412,-1.079472262585362,3.961509662531171e-07,0.5005781376097225
5040100,0.005971815910319158,0.5005702685531218,0.09275974204336304,-1.0333899047810784,6.190669736838572e-07,0.5005696494861481
6040100,0.006967516809361671,0.5006561861180034,0.09170639557847948,-1.053346464883562,8.915646532159371e-07,0.5006552945533502
7040100,0.007963314724088948,0.5008499187596283,0.0907091754378559,-0.9972201406235945,1.213657299103943e-06,0.5008487051023292
8040100,0.008959203466999658,0.5009048203510253,0.08966466745204947,-1.044507985806408,1.5853595982662227e-06,0.5009032349914271
9040100,0.009955186283217591,0.5009511413414153,0.08856583992598611,-1.0988275260633513,2.006683271105203e-06,0.5009491346581442
10040100,0.010951266892167025,0.5010701700773413,0.08753629368490665,-1.0295462410794698,2.4776435019191467e-06,0.5010676924338394
11040100,0.011947438036664534,0.5011751999337988,0.08651092076768306,-1.025372917223586,2.9982563880537327e-06,0.5011722016774107
12040100,0.012943698300223962,0.501277231770683,0.0854489316810558,-1.0619890866272566,3.5685322075096337e-06,0.5012736632384754
13040100,0.01394004976106206,0.5013702988598007,0.0843937078293051,-1.0552238517507,4.188483579525837e-06,0.5013661103762211
14040100,0.014936490725230058,0.5014257111770326,0.08333975487404195,-1.053952955263141,4.858125272733105e-06,0.5014208530517599
15040100,0.015933019977400827,0.5014942285821283,0.08229007420638372,-1.049680667658238,5.577469657680467e-06,0.5014886511124707
16040100,0.01692963605945188,0.5016309618794618,0.08125908624805518,-1.0309879583285448,6.346529147549518e-06,0.5016246153503142
17040100,0.017926336356175028,0.5016791784497939,0.08022138495786779,-1.0377012901873937,7.1653157114326405e-06,0.5016720131340825
18040100,0.018923120346139362,0.5016633484814599,0.07914927859369737,-1.0721063641704374,8.033839993260017e-06,0.5016553146414666
19040100,0.01991998967686853,0.5017216958505722,0.07812131059867998,-1.0279679950173892,8.952114093574437e-06,0.5017127437364787
20040100,0.020916939758879132,0.5017936492165528,0.07712537407895018,-0.9959365197298102,9.920152177045338e-06,0.5017837290643757
21040100,0.02191396707119637,0.5018716865735492,0.07609220884264911,-1.033165236301066,1.0937962212409502e-05,0.5018607486113368
